364	100
87387	87499	1	0	1	1
139187	139217	0	0	0	1
142253	142618	1	1	0	1
151006	151095	2	0	0	2
181178	181209	0	0	0	1
266260	266358	4	0	0	2
298578	298595	0	0	1	1
309202	309289	2	0	1	2
322337	322840	2	0	0	2
372564	372648	2	0	0	2
373023	373091	1	2	0	1
387298	387413	1	0	1	1
404893	404989	2	2	2	2
430568	430951	1	0	1	1
432820	432947	1	2	0	1
448496	448570	2	0	0	2
595019	595529	1	2	0	1
628646	628727	2	0	2	2
655324	655653	1	1	0	1
669171	669265	2	0	2	2
676897	677402	2	1	0	2
688660	689016	2	0	0	2
724353	724432	1	0	0	1
724573	724642	1	3	0	1
741489	741577	1	0	0	1
854560	854911	2	0	2	2
864247	864359	1	1	0	1
866658	867070	1	0	1	1
868424	868811	1	0	0	1
915512	915595	1	2	0	1
924725	925145	2	0	0	2
942086	942182	2	0	0	2
989061	989154	2	0	0	2
1401616	1401647	0	0	0	1
1412353	1412419	2	0	1	2
1417753	1417829	1	0	0	1
1417911	1418006	1	0	0	1
1422277	1422352	2	0	0	2
1483835	1483917	2	0	1	2
1488626	1488932	2	0	0	2
1538698	1538716	0	0	0	1
1604659	1604712	1	0	0	1
1604959	1605010	1	1	0	1
1900314	1900384	1	2	0	1
1952674	1953164	1	1	1	1
2052610	2053014	1	1	1	1
2065027	2065327	1	0	2	1
2074406	2074516	2	1	0	2
2089982	2090051	2	0	0	2
2102733	2102813	1	1	0	1
2142341	2142772	2	0	0	2
2143435	2143799	1	1	0	1
2149052	2149343	2	0	0	2
2157290	2157710	1	0	0	1
2172532	2172641	1	2	0	1
2194621	2194643	0	0	1	1
2234369	2234491	1	1	0	1
2266394	2266479	2	0	0	2
2293025	2293104	2	0	0	2
2326567	2326905	1	2	0	1
2404641	2404730	2	0	2	2
2414486	2415024	1	0	1	1
2464913	2465180	1	2	1	1
2550255	2550365	2	0	0	2
2568710	2568782	2	0	0	2
2719404	2719463	0	1	0	1
2781356	2781369	0	2	0	1
2908320	2908408	2	0	0	2
2930412	2930430	0	1	0	2
2938817	2938899	1	0	0	1
3047885	3047985	1	0	0	1
3071850	3072615	1	0	1	1
3073638	3073831	2	0	1	2
3101777	3101868	2	0	1	2
3154625	3154704	2	0	0	2
3154728	3154823	2	0	0	2
3190244	3190557	2	1	1	2
3194977	3195411	1	1	0	1
3236808	3237191	1	1	0	1
3285465	3285853	2	0	0	2
3296766	3296798	0	0	0	2
3342066	3342321	2	0	0	2
3412470	3412857	2	0	0	2
3455570	3455631	1	0	3	1
3476587	3477020	1	0	0	1
3506967	3507256	2	3	1	2
3574306	3574390	1	0	0	1
3633681	3633770	2	0	1	2
3639829	3640237	2	0	1	2
3664426	3664897	2	0	0	2
3724643	3725042	1	1	3	1
3743807	3743807	0	0	0	2
3756235	3756365	2	0	2	2
3936482	3936760	2	1	0	2
4063936	4064058	1	2	0	1
4080354	4080441	1	1	0	1
4091154	4091246	2	1	2	2
4098931	4099033	2	0	0	2
4116329	4116836	2	1	1	2
4171783	4171870	2	0	0	2
4201911	4202307	2	0	0	2
4238485	4238950	1	1	0	1
4239906	4240007	1	0	0	1
4240116	4240226	1	0	0	1
4280361	4280435	2	0	0	2
4328970	4329440	1	0	0	1
4364831	4365355	1	0	0	1
4480712	4480803	1	0	0	1
4772969	4773277	2	0	1	2
4782451	4782564	2	0	0	2
4783191	4783511	2	0	0	2
4794430	4794681	0	1	0	1
4820003	4820033	0	0	0	1
4876542	4876560	0	1	0	2
4886065	4886078	0	2	0	1
4910149	4910167	0	0	0	2
4921884	4921977	2	0	0	2
4929246	4929259	0	0	2	2
4939859	4940005	2	3	1	2
4960601	4960672	1	3	0	1
5274306	5274457	2	0	0	2
5305011	5305068	1	0	0	1
5315868	5316016	2	0	0	2
5358404	5358426	0	0	1	1
5400079	5400161	2	1	1	2
5410234	5410873	1	1	0	1
5448438	5448469	0	0	1	1
5492766	5492965	1	2	0	1
5530265	5530298	0	0	1	2
5553895	5554405	1	3	0	1
5589688	5589772	2	0	0	2
5607844	5608311	2	1	0	2
5608406	5608864	2	0	0	2
5666009	5666040	0	0	0	1
5678559	5678628	1	2	0	1
5679192	5679253	1	1	1	1
5681973	5682202	1	1	1	1
5683630	5683648	0	1	0	2
5740245	5740337	2	0	0	2
5740817	5740878	2	1	0	2
5786518	5786600	1	0	0	1
5798710	5799186	1	3	0	1
5943867	5943889	0	1	0	2
5969918	5970236	1	0	0	1
6100301	6100332	0	0	0	2
6102140	6102352	2	0	1	2
6121625	6121658	0	0	1	2
6163544	6163998	1	0	2	1
6189207	6189299	1	1	3	1
6327762	6327909	1	0	0	1
6555497	6556269	4	0	1	2
6658005	6658402	1	2	2	1
6661431	6661493	1	1	0	1
6680151	6680711	1	1	0	1
6683128	6683246	1	0	1	1
6691840	6692007	2	1	0	2
6701716	6702265	2	2	1	2
6741114	6741275	2	0	1	2
6743349	6743449	2	0	0	2
6791482	6791500	0	1	0	2
6804755	6804847	1	1	1	1
6809237	6809349	2	1	0	2
6815954	6816039	2	0	0	2
6851960	6852083	2	0	0	2
6869371	6869457	2	0	0	2
6908464	6908554	1	0	0	1
6912112	6912130	0	1	0	2
6935906	6936346	2	0	1	2
6942528	6942558	0	0	0	2
7052319	7052385	2	0	0	2
7058847	7059115	2	0	0	2
7112215	7112313	3	0	0	1
7344613	7345000	2	0	0	2
7390300	7390442	2	0	0	2
7413828	7414235	1	1	0	1
7415970	7416355	1	0	1	1
7431126	7431442	1	0	1	1
7496821	7497280	2	2	0	2
7694312	7694325	0	2	0	1
7727380	7727466	2	0	1	2
7736525	7736601	2	0	0	2
7755998	7756031	0	0	1	2
7775259	7775374	1	0	0	1
7809215	7809294	2	1	1	2
7883023	7883036	0	0	2	2
7920379	7921083	3	0	0	1
7948338	7948612	1	0	1	1
7957988	7958006	0	0	0	1
7977841	7977889	0	0	0	1
8042830	8043085	2	0	0	2
8209462	8209537	1	0	0	1
8236041	8236346	1	0	1	1
8281735	8282117	1	0	0	1
8285079	8285429	1	1	2	1
8409559	8409884	1	0	0	1
8429416	8429449	0	1	0	1
8556919	8557059	2	0	0	2
8558498	8558895	1	2	2	1
8564301	8564368	1	0	0	1
8574170	8574273	2	1	0	2
8576415	8576483	2	0	0	2
8585058	8585089	0	0	0	1
8678144	8678465	1	0	2	1
8705465	8705487	0	0	1	1
8744838	8745205	2	0	0	2
8752365	8752439	1	0	0	1
8916811	8916909	4	0	0	2
8922346	8922444	4	0	0	2
8953117	8953295	2	0	1	2
9005479	9005509	0	0	0	1
9155217	9155575	1	0	2	1
9163756	9163842	2	0	2	2
9176101	9176489	1	0	0	1
9199363	9199451	2	0	1	2
9240154	9240294	2	0	1	2
9311428	9311521	1	1	0	1
9368077	9368308	0	0	0	2
9368465	9368825	0	2	1	2
9377214	9377445	0	0	0	2
9377602	9377962	0	2	1	2
9435565	9435923	1	0	0	1
9461573	9461658	2	0	0	2
9463354	9463469	2	0	0	2
9477350	9477408	2	2	0	2
9505458	9505476	0	0	0	2
9518231	9518290	0	0	1	2
9541316	9541348	0	0	0	1
9607278	9607367	1	0	0	1
9625621	9626050	2	1	1	2
9645023	9645041	0	0	0	1
9657049	9657182	1	1	0	1
9678969	9679024	2	1	0	2
9679077	9679144	2	0	0	2
9697283	9697302	0	2	0	1
9699511	9699607	1	0	0	1
9732226	9732672	1	4	0	1
9769470	9769952	1	1	2	1
9788308	9788330	0	0	1	1
9844245	9844593	2	0	0	2
9900037	9900107	1	1	2	1
9937468	9937549	1	0	0	1
9941764	9942147	1	0	1	1
9979980	9980258	1	0	1	1
10227407	10227505	4	0	0	2
10246976	10247273	2	0	1	2
10305906	10305988	1	0	0	1
10322875	10322990	2	0	1	2
10347358	10347772	2	1	0	2
10363706	10363798	2	0	0	2
10386924	10387331	2	0	1	2
10392447	10392460	0	2	0	1
10419719	10419749	0	0	0	2
10429713	10429818	1	0	0	1
10435060	10435185	1	0	0	1
10446996	10447396	2	0	1	2
10448855	10448953	2	0	0	2
10449507	10449904	1	1	1	1
10460207	10460568	1	1	1	1
10561433	10561518	1	1	0	1
10575932	10575949	0	0	1	1
